question,cat,pid,variable,value
goddo,prayers,132,inter_ppl_prayers,1
goddo,prayers,138,inter_ppl_prayers,1
goddo,prayers,174,inter_ppl_prayers,1
goddo,prayers,200,inter_ppl_prayers,1
goddo,prayers,226,inter_ppl_prayers,1
goddo,prayers,179,inter_ppl_prayers,1
goddo,miracles,174,inter_ppl_miracles,1
goddo,miracles,223,inter_ppl_miracles,1
goddo,healing,180,inter_ppl_healing,1
goddo,helping,121,inter_ppl_helping,1
goddo,helping,126,inter_ppl_helping,1
goddo,helping,135,inter_ppl_helping,1
goddo,helping,137a,inter_ppl_helping,1
goddo,helping,136b,inter_ppl_helping,1
goddo,helping,141,inter_ppl_helping,1
goddo,helping,143a,inter_ppl_helping,1
goddo,helping,144,inter_ppl_helping,1
goddo,helping,145,inter_ppl_helping,1
goddo,helping,148,inter_ppl_helping,1
goddo,helping,151,inter_ppl_helping,1
goddo,helping,156,inter_ppl_helping,1
goddo,helping,159,inter_ppl_helping,1
goddo,helping,162,inter_ppl_helping,1
goddo,helping,169,inter_ppl_helping,1
goddo,helping,171,inter_ppl_helping,1
goddo,helping,173,inter_ppl_helping,1
goddo,helping,151,inter_ppl_helping,1
goddo,helping,175,inter_ppl_helping,1
goddo,helping,177,inter_ppl_helping,1
goddo,helping,176,inter_ppl_helping,1
goddo,helping,189,inter_ppl_helping,1
goddo,helping,180,inter_ppl_helping,1
goddo,helping,186,inter_ppl_helping,1
goddo,helping,187,inter_ppl_helping,1
goddo,helping,200,inter_ppl_helping,1
goddo,helping,201,inter_ppl_helping,1
goddo,helping,209,inter_ppl_helping,1
goddo,helping,218,inter_ppl_helping,1
goddo,helping,223,inter_ppl_helping,1
goddo,helping,224,inter_ppl_helping,1
goddo,helping,225,inter_ppl_helping,1
goddo,helping,226,inter_ppl_helping,1
goddo,helping,232,inter_ppl_helping,1
goddo,helping,233,inter_ppl_helping,1
goddo,helping,242,inter_ppl_helping,1
goddo,helping,245,inter_ppl_helping,1
goddo,helping,249,inter_ppl_helping,1
goddo,control,128,inter_ppl_control,1
goddo,control,149,inter_ppl_control,1
goddo,control,151,inter_ppl_control,1
goddo,control,154,inter_ppl_control,1
goddo,control,189,inter_ppl_control,1
goddo,control,193,inter_ppl_control,1
goddo,control,205,inter_ppl_control,1
goddo,control,225,inter_ppl_control,1
goddo,control,226,inter_ppl_control,1
goddo,control,246,inter_ppl_control,1
goddo,control,247,inter_ppl_control,1
goddo,judgement,246,inter_ppl_judgement,1
goddo,nature,121,inter_ture,1
goddo,nature,137a,inter_ture,1
goddo,nature,136b,inter_ture,1
goddo,nature,149,inter_ture,1
goddo,nature,170,inter_ture,1
goddo,nature,151,inter_ture,1
goddo,nature,177,inter_ture,1
goddo,nature,194,inter_ture,1
goddo,nature,199,inter_ture,1
goddo,nature,212,inter_ture,1
goddo,nature,215,inter_ture,1
goddo,nature,247,inter_ture,1
goddo,nature,250,inter_ture,1
earth,prayers,127,godearth_prayers,1
earth,prayers,138,godearth_prayers,1
earth,prayers,160,godearth_prayers,1
earth,prayers,151,godearth_prayers,1
earth,prayers,180,godearth_prayers,1
earth,prayers,224,godearth_prayers,1
earth,prayers,227,godearth_prayers,1
earth,miracles,132,godearth_miracles,1
earth,miracles,171,godearth_miracles,1
earth,miracles,174,godearth_miracles,1
earth,miracles,222,godearth_miracles,1
earth,miracles,225,godearth_miracles,1
earth,miracles,233,godearth_miracles,1
earth,healing,145,godearth_healing,1
earth,healing,189,godearth_healing,1
earth,healing,199,godearth_healing,1
earth,healing,211,godearth_healing,1
earth,healing,247,godearth_healing,1
earth,helping,123,godearth_helping,1
earth,helping,127,godearth_helping,1
earth,helping,128,godearth_helping,1
earth,helping,134,godearth_helping,1
earth,helping,141,godearth_helping,1
earth,helping,148,godearth_helping,1
earth,helping,172,godearth_helping,1
earth,helping,176,godearth_helping,1
earth,helping,189,godearth_helping,1
earth,helping,186,godearth_helping,1
earth,helping,211,godearth_helping,1
earth,helping,223,godearth_helping,1
earth,helping,226,godearth_helping,1
earth,helping,232,godearth_helping,1
earth,helping,238,godearth_helping,1
earth,helping,246,godearth_helping,1
earth,helping,247,godearth_helping,1
earth,control,134,godearth_control,1
earth,control,135,godearth_control,1
earth,control,147,godearth_control,1
earth,control,146,godearth_control,1
earth,control,149,godearth_control,1
earth,control,172,godearth_control,1
earth,control,177,godearth_control,1
earth,control,176,godearth_control,1
earth,control,186,godearth_control,1
earth,control,201,godearth_control,1
earth,control,202,godearth_control,1
earth,control,225,godearth_control,1
earth,judgement,246,godearth_judgement,1
earth,nature,126,godearth_ture,1
earth,nature,137a,godearth_ture,1
earth,nature,144,godearth_ture,1
earth,nature,151,godearth_ture,1
earth,nature,154,godearth_ture,1
earth,nature,156,godearth_ture,1
earth,nature,161,godearth_ture,1
earth,nature,160,godearth_ture,1
earth,nature,186,godearth_ture,1
earth,nature,187,godearth_ture,1
earth,nature,193,godearth_ture,1
earth,nature,201,godearth_ture,1
earth,nature,205,godearth_ture,1
earth,nature,210,godearth_ture,1
earth,nature,212,godearth_ture,1
earth,nature,213,godearth_ture,1
earth,nature,215,godearth_ture,1
earth,nature,216,godearth_ture,1
earth,nature,221,godearth_ture,1
earth,nature,222,godearth_ture,1
earth,nature,225,godearth_ture,1
earth,nature,228,godearth_ture,1
earth,nature,229,godearth_ture,1
earth,nature,236,godearth_ture,1
earth,nature,179,godearth_ture,1
earth,nature,238,godearth_ture,1
earth,nature,248,godearth_ture,1
earth,nature,249,godearth_ture,1
earth,nature,250,godearth_ture,1
