StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,DOB_1,DOB_2,DOB_3,Gender,Q50,Q52,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Q56,Q52,Q35,Q53,Q36,Q37,Q38,Q39,Q54,Q55,Q41,IC,Q40
2023-04-21 16:57:25,2023-04-21 16:58:52,IP Address,128.62.191.56,100,87,True,2023-04-21 16:58:53,R_BJRSqJkiAMQKGBj,,,,,30.2887,-97.7398,qr,EN,7,August,24,2016,Female,,Not Hispanic or Latino/a,,,,,White,,,Protestant,,Atheist,,A few times a month,Moderately important,No,Bachelor's degree,Some college,A lot,Yes,Often
2023-04-25 11:11:00,2023-04-25 11:12:09,IP Address,128.62.177.99,100,69,True,2023-04-25 11:12:10,R_1K0wtj34zPgawqp,,,,,30.2887,-97.7398,qr,EN,8,July,5,2017,Male,,Not Hispanic or Latino/a,,,,,White,,,None,,None,,Less than once a year,Not at all important,No,Graduate or professional degree,Bachelor's degree,Not at all,Yes,At least once a day
2023-04-27 15:41:53,2023-04-27 16:20:37,IP Address,128.62.46.208,100,2323,True,2023-04-27 16:20:38,R_1FJ1vi4g3ShUuDL,,,,,30.2887,-97.7398,qr,EN,9,March,21,2018,Female,,Not Hispanic or Latino/a,,,,,White,,,Protestant,,Agnostic,,A few times a month,Very important,No,Bachelor's degree,Associate's degree,A little bit,No,Never
2023-04-28 15:31:32,2023-04-28 15:32:40,IP Address,128.62.177.99,100,67,True,2023-04-28 15:32:40,R_AspbKF0ecd08FMt,,,,,30.2887,-97.7398,qr,EN,4/28/23,,,,,,,,,,,,,,,,,,,,,,,,Yes,
2023-04-28 15:41:44,2023-04-28 15:43:56,IP Address,128.62.177.99,100,131,True,2023-04-28 15:43:56,R_1QsiOVkuYosMeR2,,,,,30.2887,-97.7398,qr,EN,42823,February,13,2016,Male,,Hispanic or Latino/a,,,,,White,,,Other Christian,,,,A few times a week,Very important,No,High school diploma or equivalent,High school diploma or equivalent,Not at all,Yes,At least once a day
2023-04-29 13:07:13,2023-04-29 13:11:08,IP Address,172.59.232.236,100,235,True,2023-04-29 13:11:09,R_2Cw7MpcSjlBU84c,,,,,29.4553,-98.5677,qr,EN,11,October,27,2017,Female,,Not Hispanic or Latino/a,,,,,,Other,White and Asian,Other,Buddhist and Christian,Buddhist,,Never,Minimally important,No,Graduate or professional degree,Graduate or Professional degree,A lot,Yes,At least once a day
2023-05-01 12:30:57,2023-05-02 12:05:22,IP Address,128.62.177.99,100,84864,True,2023-05-02 12:05:22,R_2alU0NdGvjEZyzk,,,,,30.2887,-97.7398,qr,EN,12,July,31,2015,Male,,Not Hispanic or Latino/a,,,,,White,,,None,,Atheist,,Never,Not at all important,No,Graduate or professional degree,Graduate or Professional degree,Not at all,Yes,At least once a day
2023-05-08 22:24:48,2023-05-08 22:25:43,IP Address,172.58.180.223,100,54,True,2023-05-08 22:25:44,R_3JgG0fpnay1XNCu,,,,,32.7797,-96.8022,qr,EN,Test,March,6,2003,Female,,Hispanic or Latino/a,,,,,,Other,,Other Christian,,Other Christian,,Daily,Very important,,Associate's degree,Associate's degree,A little bit,Yes,Rarely
2023-05-11 16:03:15,2023-05-11 16:04:49,IP Address,198.214.80.120,100,94,True,2023-05-11 16:04:50,R_2YYtz2LUC7Mwj1O,,,,,30.2887,-97.7398,qr,EN,51123,October,14,2016,Female,,Hispanic or Latino/a,,,,,White,,,None,,Buddhist,,Never,Not at all important,No,Bachelor's degree,Bachelor's degree,A little bit,No,Rarely
2023-05-15 13:32:16,2023-05-15 13:33:54,IP Address,128.62.39.71,100,98,True,2023-05-15 13:33:55,R_1LSGjFg6Rd3aP0F,,,,,30.2887,-97.7398,qr,EN,Test (12),,,,,,,,,,,,,,,,,,,,,,,,Yes,Rarely
2023-05-23 12:04:46,2023-05-23 12:06:36,IP Address,128.62.39.71,100,110,True,2023-05-23 12:06:37,R_aVqGKyRRJohB637,,,,,30.2887,-97.7398,qr,EN,Test14,,,,,,,,Asian,Black,,White,,,Other Christian,,,,,,,,,,No,Rarely
2023-06-23 13:18:59,2023-06-23 13:20:46,IP Address,128.62.36.92,100,107,True,2023-06-23 13:20:47,R_2CCiJ2XB88rzzBl,,,,,30.2887,-97.7398,qr,EN,Test,,,,,,,,,,,,,,,,,,,,,,,,No,
2023-06-23 13:19:00,2023-06-23 13:20:58,IP Address,128.62.44.123,100,118,True,2023-06-23 13:20:58,R_3nShaNjDhkG5HXq,,,,,30.2887,-97.7398,qr,EN,Test,,,,,,,,,,,,,,,,,,,,,,,,No,
2023-06-23 13:19:01,2023-06-23 13:21:01,IP Address,128.62.44.149,100,120,True,2023-06-23 13:21:02,R_1GyrRxsEVIR0NKP,,,,,30.2887,-97.7398,qr,EN,Test,,,,,,,,,,,,,,,,,,,,,,,,Yes,
2023-06-26 13:55:05,2023-06-26 13:55:46,IP Address,128.62.36.92,100,41,True,2023-06-26 13:55:46,R_2D8ircEnAvCxoEr,,,,,30.2887,-97.7398,qr,EN,,,,,,,,,,,,,,,,,,,,,,,,A little bit,Yes,Never
2023-06-27 12:41:28,2023-06-27 12:42:43,IP Address,128.62.36.92,100,74,True,2023-06-27 12:42:43,R_2VDyk8MP9yeGmdg,,,,,30.2887,-97.7398,qr,EN,14,July,5,2018,Female,,Not Hispanic or Latino/a,,,,,White,,,Agnostic,,Agnostic,,Never,Not at all important,No,Bachelor's degree,Graduate or Professional degree,A lot,No,Never
2023-06-27 15:06:26,2023-06-27 15:07:52,IP Address,128.62.36.92,100,85,True,2023-06-27 15:07:52,R_3FUnaT4Oqf828Nl,,,,,30.2887,-97.7398,qr,EN,15,August,29,2017,Female,,Not Hispanic or Latino/a,,,,,White,,,None,,Catholic,,Less than once a year,Not at all important,No,Graduate or professional degree,Graduate or Professional degree,Not at all,No,Never
2023-06-28 12:49:00,2023-06-28 12:50:39,IP Address,128.62.36.92,100,98,True,2023-06-28 12:50:39,R_3dH8DU7HjBJlIfC,,,,,30.2887,-97.7398,qr,EN,16,October,12,2015,Male,,Not Hispanic or Latino/a,,,,,White,,,Protestant,,Protestant,,A few times a month,Very important,No,Bachelor's degree,Bachelor's degree,A little bit,Yes,Often
2023-07-05 12:09:26,2023-07-05 12:10:05,IP Address,128.62.36.92,100,38,True,2023-07-05 12:10:05,R_Z7uXQVmB9LWLepP,,,,,30.2887,-97.7398,qr,EN,"Test ",,,,,,,,,,,,,,,,,,,,,,,,Yes,
2023-07-05 12:45:44,2023-07-05 15:34:49,IP Address,128.62.36.92,100,10144,True,2023-07-05 15:34:49,R_1DYUOmqyOKjLVbW,,,,,30.2887,-97.7398,qr,EN,Test,August,30,2018,Male,,Hispanic or Latino/a,,,,,White,,,Atheist,,None,,Never,Not at all important,No,Graduate or professional degree,Graduate or Professional degree,A little bit,No,Rarely
2023-07-08 13:30:10,2023-07-08 13:33:33,IP Address,128.62.36.92,100,203,True,2023-07-08 13:33:34,R_1K2SUiBQk16YY1l,,,,,30.2887,-97.7398,qr,EN,18,June,1,2018,Male,,Not Hispanic or Latino/a,,,Black,,White,,,Other,Spiritual,Other Christian,,A few times a year,Minimally important,No,Graduate or professional degree,Graduate or Professional degree,A lot,Yes,Never
2023-07-12 15:32:56,2023-07-12 15:34:02,IP Address,174.244.82.18,100,65,True,2023-07-12 15:34:02,R_RtoiyN93JKKYyJj,,,,,32.7797,-96.8022,qr,EN,20,December,10,2013,Female,,Not Hispanic or Latino/a,,,,,White,,,Protestant,,Catholic,,A few times a month,Moderately important,No,Bachelor's degree,High school diploma or equivalent,Not at all,No,Rarely
2023-07-13 10:51:26,2023-07-13 11:07:31,IP Address,128.62.36.92,100,965,True,2023-07-13 11:07:32,R_2w62pxbjjHSJh17,,,,,30.2887,-97.7398,qr,EN,21,October,21,2016,Male,,Not Hispanic or Latino/a,,Asian,,,,,,None,,None,,Never,Minimally important,No,Bachelor's degree,Graduate or Professional degree,A lot,Yes,At least once a day
2023-07-14 12:10:54,2023-07-14 12:40:26,IP Address,128.62.36.92,100,1771,True,2023-07-14 12:40:26,R_2TuWn91XG9LykNf,,,,,30.2887,-97.7398,qr,EN,22,February,20,2019,Female,,Not Hispanic or Latino/a,,Asian,,,White,,,Agnostic,,Atheist,,A few times a year,Not at all important,No,Graduate or professional degree,Graduate or Professional degree,Not at all,No,Never
2023-07-14 16:54:24,2023-07-14 16:56:53,IP Address,128.62.36.92,100,149,True,2023-07-14 16:56:54,R_23TPGHpWHgQY27I,,,,,30.2887,-97.7398,qr,EN,23,September,28,2017,Female,,Not Hispanic or Latino/a,,Asian,,,White,,,Protestant,,Protestant,,A few times a month,Very important,Yes,Graduate or professional degree,Bachelor's degree,A lot,No,Sometimes
2023-07-15 11:01:28,2023-07-15 11:07:43,IP Address,128.62.36.92,100,374,True,2023-07-15 11:07:44,R_2SvOqzlMJw2e3UL,,,,,30.2887,-97.7398,qr,EN,25,March,14,2018,Female,,Hispanic or Latino/a,,,,,White,,,Catholic,,,,Never,Minimally important,No,High school diploma or equivalent,High school diploma or equivalent,A lot,No,Never
2023-07-15 11:15:34,2023-07-15 11:16:46,IP Address,128.62.36.92,100,71,True,2023-07-15 11:16:47,R_264FVVaMcFf2ulY,,,,,30.2887,-97.7398,qr,EN,25,March,14,2018,Male,,Hispanic or Latino/a,,,,,White,,,Catholic,,,,Never,Minimally important,No,High school diploma or equivalent,High school diploma or equivalent,A lot,No,Rarely
2023-07-15 12:48:12,2023-07-15 12:51:21,IP Address,128.62.36.92,100,188,True,2023-07-15 12:51:21,R_2ZWBAjDciwl8JXc,,,,,30.2887,-97.7398,qr,EN,26,March,8,2019,Female,,Hispanic or Latino/a,,,,,White,,,Other Christian,,Agnostic,,Less than once a year,Minimally important,No,Graduate or professional degree,Graduate or Professional degree,A lot,No,Never
2023-07-18 11:52:26,2023-07-18 12:01:27,IP Address,128.62.36.92,100,541,True,2023-07-18 12:01:28,R_RmnckZlk3GZRfHP,,,,,30.2887,-97.7398,qr,EN,27,February,1,2017,Male,,Not Hispanic or Latino/a,,Asian,,,White,,,Buddhist,,Catholic,,Less than once a year,Minimally important,No,Associate's degree,Bachelor's degree,A lot,No,Rarely
2023-07-18 12:10:15,2023-07-18 12:11:51,IP Address,128.62.36.92,100,95,True,2023-07-18 12:11:51,R_3FPTmIb6Z4SeohX,,,,,30.2887,-97.7398,qr,EN,28,March,25,2015,Female,,Not Hispanic or Latino/a,,Asian,,,White,,,Buddhist,,Catholic,,Less than once a year,Minimally important,No,Associate's degree,Bachelor's degree,A lot,No,Rarely
2023-07-21 10:55:41,2023-07-21 10:58:57,IP Address,128.62.36.92,100,196,True,2023-07-21 10:58:57,R_12ifuzxW0TekxcF,,,,,30.2887,-97.7398,qr,EN,29,October,17,2017,Female,,Not Hispanic or Latino/a,,,,,White,,,Protestant,,Protestant,,A few times a year,Minimally important,No,Graduate or professional degree,Bachelor's degree,A lot,Yes,Often
2023-07-21 12:46:28,2023-07-21 13:31:51,IP Address,128.62.36.92,100,2722,True,2023-07-21 13:31:51,R_2XpMxzy4MRQkZLY,,,,,30.2887,-97.7398,qr,EN,30,February,9,2016,Male,,Not Hispanic or Latino/a,,Asian,,,White,,,Protestant,,Protestant,,A few times a year,Moderately important,No,Bachelor's degree,Some college,A little bit,No,Sometimes
2023-07-21 13:56:52,2023-07-21 13:58:36,IP Address,128.62.36.92,100,103,True,2023-07-21 13:58:37,R_3n2fXOLR2cfaLZp,,,,,30.2887,-97.7398,qr,EN,31,September,26,2017,Male,,Hispanic or Latino/a,,,,,White,,,Catholic,,Agnostic,,A few times a year,Moderately important,No,Graduate or professional degree,Bachelor's degree,A little bit,Yes,Often
2023-07-22 11:11:36,2023-07-22 11:16:56,IP Address,128.62.36.92,100,319,True,2023-07-22 11:16:56,R_2THKOuyTkMmaoFv,,,,,30.2887,-97.7398,qr,EN,32,April,3,2017,Male,,Hispanic or Latino/a,,,,,White,,,Other Christian,,Protestant,,A few times a month,Moderately important,No,Graduate or professional degree,Bachelor's degree,A lot,No,Never
2023-07-22 11:42:45,2023-07-22 11:51:28,IP Address,128.62.36.92,100,523,True,2023-07-22 11:51:28,R_2qxwnlqvKiQCljT,,,,,30.2887,-97.7398,qr,EN,33,October,9,2018,Female,,Hispanic or Latino/a,,,,,White,,,Protestant,,Protestant,,A few times a month,Moderately important,No,Graduate or professional degree,Bachelor's degree,A lot,No,Never
2023-07-22 12:35:14,2023-07-22 12:45:27,IP Address,128.62.36.92,100,613,True,2023-07-22 12:45:28,R_5ur0h2UQcG44kSZ,,,,,30.2887,-97.7398,qr,EN,34,August,17,2015,Female,,Not Hispanic or Latino/a,,,,,White,,,Atheist,,Atheist,,Never,Not at all important,No,Graduate or professional degree,Bachelor's degree,A little bit,Yes,At least once a day
2023-07-24 11:07:05,2023-07-24 11:09:05,IP Address,128.62.36.92,100,119,True,2023-07-24 11:09:05,R_3hc3f5v7tYVXNkU,,,,,30.2887,-97.7398,qr,EN,38,January,23,2019,Female,,Hispanic or Latino/a,,Asian,,,White,,,Catholic,,Catholic,,A few times a month,Very important,No,Graduate or professional degree,Bachelor's degree,A lot,Yes,Rarely
2023-07-24 11:02:38,2023-07-24 11:09:05,IP Address,128.62.35.209,100,387,True,2023-07-24 11:09:06,R_2xOYU3aE8mHLkFe,,,,,30.2887,-97.7398,qr,EN,35,July,4,2013,Male,,Hispanic or Latino/a,,Asian,,,White,,,Catholic,,Catholic,,A few times a month,Very important,No,Graduate or professional degree,Bachelor's degree,A lot,Yes,Rarely
2023-07-24 11:49:29,2023-07-24 11:53:17,IP Address,128.62.36.92,100,228,True,2023-07-24 11:53:18,R_b2upTapFuAKobbb,,,,,30.2887,-97.7398,qr,EN,39,December,2,2014,Male,,Hispanic or Latino/a,,Asian,,,White,,,Catholic,,Catholic,,A few times a month,Very important,No,Graduate or professional degree,Bachelor's degree,A lot,Yes,Rarely
2023-07-24 11:54:20,2023-07-24 11:55:18,IP Address,128.62.38.45,100,57,True,2023-07-24 11:55:18,R_32YpHKDlnNyJh2b,,,,,30.2887,-97.7398,qr,EN,36,September,20,2017,Male,,Hispanic or Latino/a,,Asian,,,White,,,Catholic,,Catholic,,A few times a month,Very important,No,Graduate or professional degree,Bachelor's degree,A lot,No,Sometimes
2023-07-24 13:06:24,2023-07-24 13:07:34,IP Address,198.214.80.217,100,69,True,2023-07-24 13:07:34,R_29al8t1q66beg9R,,,,,30.2881,-97.764,qr,EN,40,April,16,2015,Male,,Not Hispanic or Latino/a,,,,,White,,,Atheist,,Atheist,,A few times a year,Not at all important,No,Graduate or professional degree,Bachelor's degree,A lot,Yes,At least once a day
2023-07-26 14:31:11,2023-07-26 14:32:46,IP Address,128.62.36.92,100,94,True,2023-07-26 14:32:47,R_1mh2exlBAmfNi1T,,,,,30.2887,-97.7398,qr,EN,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Never
2023-07-29 11:43:52,2023-07-29 11:45:25,IP Address,166.198.250.122,100,92,True,2023-07-29 11:45:26,R_263TDPaiM000vVL,,,,,33.5896,-101.861,qr,EN,41,November,18,2015,Female,,Not Hispanic or Latino/a,,,Black,,,,,Other Christian,,Other Christian,,Less than once a year,Moderately important,No,Bachelor's degree,Associate's degree,A lot,Yes,At least once a day
2023-07-29 12:05:06,2023-07-29 12:06:11,IP Address,166.198.250.122,100,64,True,2023-07-29 12:06:12,R_usGylEwiDh1VUA1,,,,,33.5896,-101.861,qr,EN,42,November,18,2015,Male,,Not Hispanic or Latino/a,,,Black,,,,,Other Christian,,Other Christian,,Less than once a year,Moderately important,No,Bachelor's degree,Associate's degree,A lot,Yes,At least once a day
2023-07-29 12:12:06,2023-07-29 12:36:27,IP Address,128.62.44.156,100,1461,True,2023-07-29 12:36:28,R_3Ey8UNxwoL0Oyy4,,,,,30.2887,-97.7398,qr,EN,44,April,13,2016,Male,,Not Hispanic or Latino/a,,,,,White,,,None,,Other,Spirtual,Less than once a year,Not at all important,No,Bachelor's degree,Bachelor's degree,A little bit,No,Sometimes
2023-07-29 12:36:40,2023-07-29 12:38:10,IP Address,128.62.36.92,100,90,True,2023-07-29 12:38:10,R_2c18jw0cgfbHBI7,,,,,30.2887,-97.7398,qr,EN,43,March,25,2018,Male,,Not Hispanic or Latino/a,,,,,White,,,None,,Other,Spiritual,Less than once a year,Not at all important,No,Bachelor's degree,Bachelor's degree,A little bit,No,Sometimes
2023-08-02 10:25:45,2023-08-02 10:30:46,IP Address,128.62.34.153,100,301,True,2023-08-02 10:30:47,R_3MrGCVQz5RZXlGb,,,,,30.2887,-97.7398,qr,EN,45,November,13,2018,Male,,Not Hispanic or Latino/a,,,,,White,,,None,,None,,Less than once a year,Not at all important,No,Graduate or professional degree,Graduate or Professional degree,A little bit,Yes,At least once a day
2023-08-02 10:50:56,2023-08-02 11:37:31,IP Address,128.62.34.153,100,2794,True,2023-08-02 11:37:32,R_1nOxVeoYfHn6GDH,,,,,30.2887,-97.7398,qr,EN,46,April,16,2014,Male,,Not Hispanic or Latino/a,,,,,White,,,Catholic,,Catholic,,A few times a week,Very important,No,Graduate or professional degree,Graduate or Professional degree,A lot,No,Never
2023-08-02 14:02:38,2023-08-02 14:04:17,IP Address,128.62.34.153,100,98,True,2023-08-02 14:04:17,R_prAG4BB1QbYrMbf,,,,,30.2887,-97.7398,qr,EN,47,March,18,2013,Male,,Not Hispanic or Latino/a,,,,,White,,,None,,None,,A few times a year,Not at all important,No,Bachelor's degree,Graduate or Professional degree,A little bit,No,Never
2023-08-04 12:19:47,2023-08-04 12:51:12,IP Address,128.62.34.153,100,1884,True,2023-08-04 12:51:13,R_21Exx7qhIJG0SrI,,,,,30.2887,-97.7398,qr,EN,48,April,24,2015,Female,,Not Hispanic or Latino/a,,,,,White,,,Jewish,,Jewish,,Never,Minimally important,No,Graduate or professional degree,Graduate or Professional degree,A little bit,Yes,Sometimes
2023-08-04 13:22:42,2023-08-04 13:23:57,IP Address,128.62.33.141,100,75,True,2023-08-04 13:23:58,R_2xKVs5otUgbtlVo,,,,,30.2887,-97.7398,qr,EN,49,May,26,2017,Female,,Not Hispanic or Latino/a,,,,,White,,,Jewish,,Jewish,,Never,Minimally important,No,Graduate or professional degree,Graduate or Professional degree,A little bit,Yes,Sometimes
2023-08-05 10:54:53,2023-08-05 10:56:37,IP Address,128.62.34.153,100,103,True,2023-08-05 10:56:37,R_3fC6fOPcCgm3nw1,,,,,30.2887,-97.7398,qr,EN,50,October,28,2018,Female,,Not Hispanic or Latino/a,,,,,White,,,None,,None,,Never,Not at all important,No,Bachelor's degree,Bachelor's degree,A little bit,No,Rarely
2023-08-07 12:26:45,2023-08-07 12:30:46,IP Address,128.62.34.153,100,240,True,2023-08-07 12:30:47,R_2Xh4zMeioqxkysq,,,,,30.2887,-97.7398,qr,EN,51,December,23,2012,Female,,Not Hispanic or Latino/a,,,,,White,,,Other,Austin Oaks,,,A few times a year,Moderately important,No,Some college,Some college,A little bit,No,
2023-07-31 12:35:58,2023-07-31 12:56:40,IP Address,128.62.44.156,29,1241,False,2023-08-07 12:56:42,R_1JFrNEl0EIvO7s0,,,,,,,qr,EN,,,,,Other,,,,,,,,,,,,,,,,,,,,,
2023-08-09 11:18:56,2023-08-09 11:20:45,IP Address,128.62.44.156,100,108,True,2023-08-09 11:20:46,R_Wpa9uCQ97m1wzGV,,,,,30.2887,-97.7398,qr,EN,52,June,1,2017,Female,,Not Hispanic or Latino/a,,,,,White,,,Protestant,,Protestant,,A few times a month,Very important,No,Bachelor's degree,Bachelor's degree,A little bit,Yes,Sometimes
2023-08-11 12:47:56,2023-08-11 12:50:48,IP Address,128.62.39.122,100,172,True,2023-08-11 12:50:49,R_bOVDWAEk1Y0XYrv,,,,,30.2887,-97.7398,qr,EN,53,July,11,2016,Female,,Hispanic or Latino/a,,,,,,Other,Latino,Other,Believe in god but don’t follow a certain religion,,,Less than once a year,Minimally important,No,Bachelor's degree,Some college,A lot,No,Rarely
2023-08-26 11:21:11,2023-08-26 11:22:30,IP Address,128.62.42.186,100,79,True,2023-08-26 11:22:31,R_2bUdH1kBE8s9onV,,,,,30.2887,-97.7398,qr,EN,55,August,8,2014,Female,,Not Hispanic or Latino/a,,Asian,,,White,,,Protestant,,Agnostic,,Less than once a year,Minimally important,No,Graduate or professional degree,Graduate or Professional degree,A little bit,No,Rarely
2023-08-26 13:55:34,2023-08-26 13:57:13,IP Address,128.62.42.186,100,99,True,2023-08-26 13:57:14,R_XoFMFJ99zbYYCxH,,,,,30.2887,-97.7398,qr,EN,56,July,17,2015,Female,,Not Hispanic or Latino/a,,Asian,,,,,,Protestant,,Protestant,,A few times a month,Very important,No,Bachelor's degree,Bachelor's degree,A little bit,Yes,Sometimes
2023-08-30 10:28:56,2023-08-30 10:40:25,IP Address,128.62.42.186,100,689,True,2023-08-30 10:40:26,R_1LwmEqxZ6DKlFFf,,,,,30.2887,-97.7398,qr,EN,56,March,7,2013,Male,,Hispanic or Latino/a,,,,,White,,,Other Christian,,Other Christian,,A few times a month,Very important,No,Some college,Some college,Not at all,No,Rarely
2023-09-01 16:17:49,2023-09-01 16:40:23,IP Address,128.62.42.186,100,1353,True,2023-09-01 16:40:23,R_1Gvm5HP6S4JmBv5,,,,,30.2887,-97.7398,qr,EN,57,June,2,2012,Female,,Not Hispanic or Latino/a,,,,,White,,,Protestant,,Protestant,,A few times a month,Moderately important,No,Associate's degree,Some college,A little bit,Yes,Sometimes
